,순위,종목코드,href,현재가,매출액[2019],매출액[2019.12],매출액[2020.03],영업이익[2019],영업이익[2019.12],영업이익[2020.03],당기순이익[2019],당기순이익[2019.12],당기순이익[2020.03],자산총계[2019],자산총계[2019.12],자산총계[2020.03],부채총계[2019],부채총계[2019.12],부채총계[2020.03],자본총계[2019],자본총계[2019.12],자본총계[2020.03],영업이익률[2019],영업이익률[2019.12],영업이익률[2020.03],순이익률[2019],순이익률[2019.12],순이익률[2020.03],ROE(%)[2019],ROE(%)[2019.12],ROE(%)[2020.03],ROA(%)[2019],ROA(%)[2019.12],ROA(%)[2020.03],부채비율[2019],부채비율[2019.12],부채비율[2020.03],EPS(원)[2019],EPS(원)[2019.12],EPS(원)[2020.03],PER(배)[2019],PER(배)[2019.12],PER(배)[2020.03],BPS(원)[2019],BPS(원)[2019.12],BPS(원)[2020.03],PBR(배)[2019],PBR(배)[2019.12],PBR(배)[2020.03],현금배당수익률[2019],현금배당수익률[2019.12],현금배당수익률[2020.03],현금배당성향(%)[2019],현금배당성향(%)[2019.12],현금배당성향(%)[2020.03]
포스코인터내셔널,111,047050,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=047050,"15,350","244,226","59,383","55,110","6,053",977,"1,458","2,024",12,643,"89,594","89,594","95,230","59,114","59,114","64,809","30,481","30,481","30,421",2.48,1.65,2.65,0.83,0.02,1.17,7.06,7.06,7.08,2.15,2.15,2.01,193.94,193.94,213.04,"1,697",24,589,10.99,10.99,6.65,"24,703","24,703","24,723",0.75,0.75,0.46,3.75,,,41.24,"2,960.22",
KG동부제철,112,016380,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=016380,"16,600","24,282","5,377","5,962",346,337,287,-335,267,45,"23,553","23,553","23,522","14,658","14,658","14,564","8,895","8,895","8,958",1.43,6.26,4.81,-1.38,4.98,0.75,-7.44,-7.44,4.13,-1.38,-1.38,0.75,164.80,164.80,162.58,-932,268,46,N/A,N/A,21.60,"8,886","8,886","8,947",0.88,0.88,0.76,0.00,,,0.00,0.00,0.00
BNK금융지주,113,138930,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=138930,"5,600","52,795","17,189","11,846","8,069",681,"2,060","5,989",385,"1,485","1,045,388","1,045,388","1,062,063","953,576","953,576","968,695","91,812","91,812","93,368",15.28,3.96,17.39,11.34,2.24,12.53,7.07,7.07,6.44,0.59,0.59,0.54,"1,038.62","1,038.62","1,037.50","1,725",101,422,4.44,4.44,2.77,"25,416","25,416","26,014",0.30,0.30,0.17,4.70,,,20.87,355.59,0.00
녹십자,114,006280,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=006280,"153,000","13,697","3,536","3,078",403,-173,61,-113,-246,-40,"19,593","19,593","19,456","7,752","7,752","7,837","11,841","11,841","11,619",2.94,-4.90,1.99,-0.82,-6.96,-1.31,-0.35,-0.35,-1.24,-0.61,-0.61,-1.11,65.47,65.47,67.45,-311,"-1,945",-370,N/A,N/A,N/A,"91,888","91,888","90,031",1.44,1.44,1.53,0.75,,,-313.76,-50.22,
대웅제약,115,069620,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=069620,"148,500","11,134","2,876","2,574",447,31,56,289,49,30,"12,457","12,457","12,746","6,097","6,097","6,107","6,359","6,359","6,638",4.01,1.08,2.16,2.59,1.71,1.17,4.34,4.34,3.25,2.35,2.35,1.94,95.88,95.88,92.00,"1,899",271,58,72.40,72.40,58.32,"50,317","50,317","50,342",2.73,2.73,1.68,0.44,,,28.14,197.13,
대웅,116,003090,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=003090,"28,300","13,657","3,523","3,283","1,075",196,241,713,125,181,"16,682","16,682","16,781","6,419","6,419","6,499","10,262","10,262","10,282",7.88,5.57,7.36,5.22,3.55,5.51,10.43,10.43,11.00,4.38,4.38,4.37,62.55,62.55,63.20,"1,074",160,267,12.06,12.06,9.87,"14,534","14,534","14,707",0.89,0.89,0.76,0.77,,,6.92,46.41,0.00
F&F,117,007700,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=007700,"107,000","9,103","3,296","1,660","1,507",704,173,"1,099",504,138,"6,844","6,844","6,280","2,007","2,007","1,469","4,837","4,837","4,812",16.56,21.35,10.44,12.08,15.29,8.30,25.13,25.13,25.07,18.63,18.63,18.94,41.49,41.49,30.52,"7,156","3,281",902,15.65,15.65,13.00,"31,494","31,494","31,336",3.56,3.56,2.96,0.89,,,13.92,30.36,
현대엘리베이,118,017800,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=017800,"63,700","18,725","5,164","4,087","1,362",434,229,436,218,-46,"25,477","25,477","24,661","15,996","15,996","15,857","9,482","9,482","8,804",7.27,8.41,5.59,2.33,4.21,-1.12,5.22,5.22,2.09,1.77,1.77,0.50,168.70,168.70,180.10,"1,785",781,-25,38.26,38.26,82.59,"34,436","34,436","33,248",1.98,1.98,1.72,1.32,,,50.46,115.26,0.00
HMM,119,011200,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=011200,"5,280","55,131","13,525","13,131","-2,997",-345,-20,"-5,898",-864,-656,"71,602","71,602","72,279","60,699","60,699","61,906","10,903","10,903","10,373",-5.44,-2.55,-0.15,-10.70,-6.39,-5.00,-55.46,-55.46,-50.85,-10.46,-10.46,-7.16,556.71,556.71,596.78,"-1,860",-272,-206,N/A,N/A,N/A,"3,420","3,420","3,254",1.04,1.04,0.95,0.00,,,0.00,0.00,0.00
NHN,120,181710,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=181710,"83,000","14,886","4,001","3,946",867,175,283,232,-360,176,"25,003","25,003","24,804","6,716","6,716","6,524","18,287","18,287","18,281",5.82,4.37,7.17,1.56,-8.99,4.46,0.78,0.78,1.21,0.93,0.93,1.19,36.73,36.73,35.69,631,"-1,573",718,105.91,105.91,70.07,"84,479","84,479","84,732",0.79,0.79,0.81,,,,0.00,0.00,0.00
동서,121,026960,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=026960,"16,950","5,022","1,252","1,214",385,106,110,"1,405",423,387,"14,783","14,783","14,506","1,263","1,263","1,306","13,519","13,519","13,199",7.66,8.46,9.02,27.98,33.77,31.90,10.53,10.53,10.70,9.66,9.66,9.71,9.35,9.35,9.90,"1,373",416,378,12.67,12.67,11.55,"13,559","13,559","13,247",1.28,1.28,1.19,4.02,,,50.44,166.68,
메리츠화재,122,000060,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=000060,"14,850","101,180","26,568","28,811","3,528",322,"1,463","3,013",678,"1,036","232,157","232,157","241,048","207,751","207,751","216,468","24,405","24,405","24,580",3.49,1.21,5.08,2.98,2.55,3.60,12.80,12.76,13.68,1.38,1.38,1.47,851.25,851.25,880.67,"2,643",594,904,6.75,6.75,4.20,"21,819","21,819","22,055",0.82,0.82,0.55,4.76,,,31.54,140.34,0.00
신풍제약,123,019170,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=019170,"27,200","1,897",484,491,20,-48,21,18,-25,17,"3,807","3,807","3,902","1,710","1,710","1,790","2,097","2,097","2,113",1.03,-9.92,4.21,0.93,-5.23,3.52,0.80,0.80,1.17,0.46,0.46,0.65,81.55,81.55,84.72,31,-46,31,236.99,236.99,322.48,"4,177","4,177","4,207",1.73,1.73,3.42,0.00,,,0.00,0.00,
한올바이오파마,124,009420,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=009420,"28,800","1,085",261,221,171,30,28,192,62,39,"1,914","1,914","1,911",510,510,457,"1,404","1,404","1,454",15.76,11.48,12.86,17.68,23.82,17.54,14.90,14.90,14.86,10.84,10.84,11.13,36.30,36.30,31.41,367,119,74,98.90,98.90,62.68,"2,744","2,744","2,842",13.23,13.23,8.34,,,,0.00,0.00,
대우건설,125,047040,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=047040,"3,960","86,519","23,093","19,858","3,641",448,"1,209","2,012",217,619,"96,977","96,977","100,101","72,094","72,094","74,074","24,882","24,882","26,028",4.21,1.94,6.09,2.33,0.94,3.12,8.80,8.80,8.70,2.18,2.18,2.16,289.74,289.74,284.60,502,52,149,9.44,9.44,5.71,"5,984","5,984","6,259",0.79,0.79,0.47,,,,0.00,0.00,
LG화학우,126,051915,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=051915,"432,500","286,250","74,612","71,157","8,956",-275,"2,365","3,761",-568,363,"340,244","340,244","371,211","166,406","166,406","197,050","173,838","173,838","174,161",3.13,-0.37,3.32,1.31,-0.76,0.51,1.84,1.84,0.83,1.20,1.20,0.59,95.73,95.73,113.14,"4,003",-993,269,79.31,79.31,170.60,"221,961","221,961","221,970",1.43,1.43,1.37,0.63,,,49.02,-197.53,
LG생활건강우,127,051905,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=051905,"1,374,000","76,854","20,133","18,964","11,764","2,410","3,337","7,882","1,338","2,342","64,937","64,937","65,422","22,566","22,566","21,930","42,371","42,371","43,493",15.31,11.97,17.60,10.26,6.65,12.35,20.32,20.32,20.00,13.39,13.39,12.94,53.26,53.26,50.42,"43,916","7,512","13,016",28.71,28.71,25.27,"247,477","247,477","253,945",5.10,5.10,4.41,0.87,,,23.70,138.56,
현대차우,128,005385,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005385,"112,000","1,057,464","278,241","253,194","36,055","11,644","8,638","31,856","7,721","5,527","1,945,122","1,945,122","1,988,508","1,181,465","1,181,465","1,229,242","763,658","763,658","759,266",3.41,4.18,3.41,3.01,2.77,2.18,4.32,4.32,3.80,1.70,1.70,1.46,154.71,154.71,161.90,"10,761","2,905","1,673",11.20,11.20,9.40,"267,549","267,549","266,807",0.45,0.45,0.33,3.32,,,35.35,98.27,
현대백화점,129,069960,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=069960,"65,400","21,990","6,124","4,496","2,922","1,056",149,"2,430",757,239,"76,231","76,231","78,676","26,438","26,438","29,011","49,793","49,793","49,665",13.29,17.24,3.31,11.05,12.36,5.31,4.64,4.64,3.72,3.33,3.33,2.63,53.10,53.10,58.41,"8,296","2,613",692,10.02,10.02,8.83,"190,027","190,027","189,387",0.44,0.44,0.31,1.20,,,11.50,36.50,
일양약품,130,007570,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=007570,"84,000","3,246",806,716,325,61,68,196,26,53,"4,375","4,375","4,405","2,147","2,147","2,129","2,227","2,227","2,276",10.02,7.56,9.55,6.04,3.29,7.38,5.20,5.20,4.34,4.51,4.51,3.98,96.40,96.40,93.54,511,0,166,44.11,44.11,95.89,"10,557","10,557","10,651",2.14,2.14,3.92,0.53,,,22.53,"-127,439.05",0.00
HDC현대산업개발,131,294870,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=294870,"22,500","42,165","10,149","10,067","5,515","1,604","1,373","4,137","1,017","1,049","44,096","44,096","53,397","21,778","21,778","27,071","22,317","22,317","26,326",13.08,15.80,13.64,9.81,10.03,10.42,20.30,20.30,19.07,8.92,8.92,8.51,97.58,97.58,102.83,"8,239","2,026","1,976",2.89,2.89,1.83,"44,456","44,456","39,950",0.53,0.53,0.39,1.84,,,5.31,21.59,
현대미포조선,132,010620,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=010620,"37,000","29,941","7,262","7,773",926,108,336,612,-61,411,"33,806","33,806","34,860","10,267","10,267","11,003","23,540","23,540","23,856",3.09,1.49,4.33,2.04,-0.85,5.29,2.31,2.31,3.22,1.79,1.79,2.25,43.61,43.61,46.12,"1,333",-185,"1,026",34.54,34.54,14.50,"58,106","58,106","58,845",0.79,0.79,0.46,0.76,,,26.21,-189.27,
효성,133,004800,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=004800,"69,200","33,734","9,081","6,769","2,368",658,125,"1,500",442,-29,"65,271","65,271","66,463","38,168","38,168","40,505","27,102","27,102","25,958",7.02,7.25,1.84,4.45,4.87,-0.43,4.25,4.25,3.22,2.32,2.32,1.84,140.83,140.83,156.04,"4,921","1,607",-442,16.08,16.08,16.98,"120,034","120,034","115,620",0.66,0.66,0.53,6.32,,,98.04,300.18,0.00
한전KPS,134,051600,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=051600,"32,050","12,470","3,781","2,511","1,939",676,271,"1,533",524,232,"13,594","13,594","13,686","2,960","2,960","3,560","10,634","10,634","10,126",15.55,17.87,10.78,12.30,13.87,9.25,14.98,14.97,16.64,11.61,11.61,11.96,27.84,27.84,35.16,"3,407","1,166",516,11.49,11.50,8.14,"23,632","23,632","22,502",1.66,1.66,1.29,4.90,,,56.35,164.73,
한화생명,135,088350,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=088350,"1,660","249,785","55,332","81,409",494,"-1,328",998,587,"-1,030",839,"1,418,501","1,418,501","1,434,490","1,278,568","1,278,568","1,293,968","139,933","139,933","140,522",0.20,-2.40,1.23,0.24,-1.86,1.03,0.51,0.87,1.37,0.04,0.04,0.09,913.70,913.70,920.83,116,-64,91,19.98,19.98,7.54,"16,883","16,883","16,951",0.14,0.14,0.08,1.30,,,22.45,-40.50,0.00
메리츠금융지주,136,138040,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=138040,"10,400","223,151","60,894","101,168","9,623","2,513","2,683","7,871","2,241","1,732","617,641","617,641","659,773","558,022","558,022","600,051","59,619","59,619","59,722",4.31,4.13,2.65,3.53,3.68,1.71,15.26,15.26,14.50,1.38,1.38,1.25,935.99,935.99,"1,004.74","2,841",808,654,4.15,4.15,3.74,"20,399","20,399","20,753",0.58,0.58,0.50,4.66,,,18.61,65.41,0.00
신세계인터내셔날,137,031430,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=031430,"198,500","14,250","3,974","3,234",845,217,120,740,190,47,"11,289","11,289","11,338","5,296","5,296","5,379","5,993","5,993","5,959",5.93,5.46,3.70,5.19,4.77,1.45,12.98,12.98,9.77,7.01,7.01,5.01,88.37,88.37,90.25,"10,361","2,651",655,21.19,21.19,23.98,"83,650","83,650","83,180",2.62,2.62,2.25,0.50,,,10.62,41.49,0.00
영원무역,138,111770,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=111770,"32,200","23,883","5,536","5,290","2,376",347,506,"1,743",181,474,"31,045","31,045","33,291","11,356","11,356","13,435","19,690","19,690","19,856",9.95,6.26,9.56,7.30,3.26,8.97,9.82,9.82,10.08,6.07,6.07,6.01,57.67,57.67,67.66,"3,753",452,956,9.13,9.13,5.56,"42,025","42,025","42,095",0.82,0.82,0.53,1.17,,,10.55,87.53,0.00
LS ELECTRIC,139,010120,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=010120,"47,100","23,468","6,992","6,356","1,685",432,405,"1,030",128,217,"25,381","25,381","25,977","11,755","11,755","12,441","13,627","13,627","13,536",7.18,6.18,6.37,4.39,1.84,3.42,7.82,7.82,7.50,4.17,4.17,3.94,86.26,86.26,91.91,"3,462",438,723,15.77,15.77,10.44,"46,397","46,397","46,101",1.18,1.18,0.75,2.20,,,33.88,267.56,
KCC,141,002380,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=002380,"156,500","27,196","2,498","12,565","1,332",74,206,"-2,219",-340,"-2,702","93,822","93,822","120,181","49,290","49,290","73,391","44,532","44,532","46,791",4.90,2.98,1.64,-8.16,-13.62,-21.51,-4.37,-4.37,-10.14,-2.42,-2.42,-5.00,110.68,110.68,156.85,"-21,079","-3,233","-27,820",N/A,N/A,N/A,"452,732","452,732","510,847",0.52,0.52,0.25,2.36,,,-24.30,-129.66,
두산인프라코어,142,042670,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=042670,"6,650","81,858","19,466","20,093","8,404","1,386","1,810","3,957",389,746,"113,386","113,386","124,557","70,710","70,710","79,530","42,676","42,676","45,027",10.27,7.12,9.01,4.83,2.00,3.71,11.59,11.59,9.21,3.54,3.54,2.76,165.69,165.69,176.63,"1,153",73,256,4.82,4.82,3.21,"10,677","10,677","11,451",0.52,0.52,0.27,0.00,,,0.00,0.00,
한솔케미칼,143,014680,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=014680,"113,000","5,876","1,431","1,466","1,114",173,352,910,139,352,"9,392","9,392","9,128","4,186","4,186","3,848","5,206","5,206","5,280",18.96,12.06,23.99,15.49,9.71,24.04,20.88,20.88,23.03,10.52,10.52,11.52,80.42,80.42,72.89,"7,655","1,204","3,063",13.85,13.85,9.05,"40,454","40,454","41,993",2.62,2.62,1.88,1.42,,,19.24,122.29,0.00
파미셀,144,005690,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005690,"21,850",325,101,95,20,5,8,43,24,9,633,633,642,117,117,118,515,515,524,6.04,4.55,7.92,13.38,23.25,9.01,8.78,8.78,8.41,7.10,7.10,6.85,22.80,22.80,22.49,72,39,14,117.10,117.10,291.42,859,859,874,9.88,9.88,23.58,,,,0.00,0.00,
SK네트웍스,145,001740,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=001740,"5,410","130,542","25,332","28,746","1,094",-609,409,"-1,226","-1,613",-33,"101,388","101,388","103,579","78,335","78,335","81,308","23,053","23,053","22,272",0.84,-2.41,1.42,-0.94,-6.37,-0.11,-5.85,-5.85,-5.96,-1.37,-1.37,-1.17,339.81,339.81,365.07,-530,-651,-21,N/A,N/A,N/A,"8,989","8,989","9,045",0.66,0.66,0.50,2.02,,,-21.96,-17.86,
DB하이텍,146,000990,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=000990,"30,050","8,074","2,120","2,258","1,813",478,647,"1,046",125,551,"10,889","10,889","11,475","4,442","4,442","4,626","6,447","6,447","6,849",22.45,22.56,28.67,12.96,5.90,24.39,17.39,17.38,23.05,9.71,9.70,12.85,68.91,68.91,67.55,"2,351",281,"1,237",11.74,11.75,6.72,"14,844","14,844","15,768",1.86,1.86,1.37,1.27,,,14.53,121.60,
두산중공업,147,034020,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=034020,"5,290","156,597","42,859","38,370","10,769","2,303",565,"-1,044","-2,723","-3,714","248,092","248,092","262,550","186,073","186,073","201,075","62,020","62,020","61,476",6.88,5.37,1.47,-0.67,-6.35,-9.68,-14.73,-14.73,-30.71,-0.42,-0.42,-2.02,300.02,300.02,327.08,"-2,150","-1,404","-1,851",N/A,N/A,N/A,"12,675","12,675","9,303",0.45,0.45,0.37,,,,0.00,0.00,
LS,149,006260,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=006260,"40,450","101,762","26,940","25,815","2,724",213,719,928,-647,74,"107,635","107,635","113,980","64,922","64,922","71,661","42,713","42,713","42,319",2.68,0.79,2.78,0.91,-2.40,0.29,0.80,0.80,-1.33,0.87,0.87,0.17,152.00,152.00,169.33,787,"-2,301",-222,60.76,60.76,N/A,"114,028","114,028","113,001",0.42,0.42,0.26,3.03,,,158.94,-54.34,
만도,150,204320,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=204320,"28,200","59,819","16,361","13,101","2,186",643,185,"1,182",145,95,"45,956","45,956","46,617","30,100","30,100","30,462","15,856","15,856","16,155",3.65,3.93,1.41,1.98,0.89,0.73,7.55,7.55,6.84,2.62,2.62,2.35,189.83,189.83,188.56,"2,354",247,177,14.96,14.96,9.53,"32,284","32,284","32,859",1.09,1.09,0.63,1.56,,,23.30,221.65,0.00
더블유게임즈,151,192080,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=192080,"68,700","5,138","1,281","1,374","1,546",390,384,"1,103",227,322,"10,747","10,747","11,374","4,276","4,276","4,209","6,472","6,472","7,165",30.09,30.47,27.93,21.46,17.74,23.43,18.93,18.93,18.19,10.65,10.65,10.56,66.07,66.07,58.75,"6,040","1,245","1,763",8.25,8.25,6.87,"38,381","38,381","42,480",1.30,1.30,1.02,0.70,,,5.35,25.96,
한화에어로스페이스,152,012450,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=012450,"25,500","52,641","15,981","10,274","1,652",351,32,"1,624",146,-91,"87,084","87,084","95,678","58,531","58,531","67,450","28,554","28,554","28,229",3.14,2.20,0.31,3.09,0.92,-0.89,5.45,5.45,5.37,2.02,2.02,1.89,204.99,204.99,238.94,"2,555",153,-255,13.72,13.72,8.18,"48,217","48,217","48,722",0.73,0.73,0.42,0.00,,,0.00,0.00,
현대로템,153,064350,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=064350,"14,900","24,593","6,000","6,705","-2,799","-1,462",117,"-3,557","-1,884",-74,"40,843","40,843","42,360","32,014","32,014","31,035","8,829","8,829","11,324",-11.38,-24.37,1.74,-14.46,-31.40,-1.10,-37.93,-37.93,-34.45,-8.80,-8.80,-8.89,362.61,362.61,274.06,"-4,168","-2,208",-59,N/A,N/A,N/A,"9,695","9,695","12,697",1.61,1.61,0.98,,,,0.00,0.00,
태영건설,154,009410,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=009410,"16,200","39,244","11,131","7,680","3,912",982,"1,078",995,-307,683,"59,161","59,161","57,035","43,447","43,447","41,049","15,714","15,714","15,986",9.97,8.82,14.04,2.54,-2.76,8.89,8.38,8.38,9.27,1.83,1.83,2.53,276.48,276.48,256.77,"1,152",-475,657,10.38,10.38,8.49,"16,307","16,307","16,896",0.73,0.73,0.68,1.26,,,11.70,-28.38,
두산솔루스,155,336370,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=336370,"39,650",700,700,709,102,102,89,45,45,54,"4,942","4,942","5,200","3,536","3,536","3,669","1,406","1,406","1,531",14.54,14.54,12.55,6.42,6.42,7.63,,,,,,,251.41,251.41,239.72,451,114,137,45.15,,,"3,551","3,551","3,865",5.73,5.73,4.77,,,,0.00,0.00,0.00
종근당,156,185750,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=185750,"110,000","10,793","2,982","2,934",746,209,259,530,158,173,"8,014","8,014","8,300","3,264","3,264","3,484","4,750","4,750","4,816",6.91,7.00,8.82,4.91,5.29,5.91,11.94,11.94,13.36,7.00,7.00,7.70,68.72,68.72,72.34,"4,950","1,456","1,643",19.60,19.60,15.19,"43,750","43,750","44,440",2.22,2.22,1.91,0.88,,,17.22,58.53,
SK케미칼,158,285130,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=285130,"98,500","14,272","3,471","2,525",803,191,80,50,16,130,"21,317","21,317","20,865","14,130","14,130","13,600","7,187","7,187","7,264",5.63,5.51,3.17,0.35,0.46,5.15,1.51,1.51,4.40,0.25,0.25,1.42,196.60,196.60,187.22,807,124,989,79.34,79.34,36.34,"54,268","54,268","54,853",1.18,1.18,1.54,0.70,,,56.68,368.14,0.00
지누스,159,013890,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=013890,"79,000","8,171","2,499","1,843","1,039",296,233,724,151,171,"7,551","7,551","7,512","3,809","3,809","3,637","3,741","3,741","3,875",12.71,11.84,12.63,8.86,6.06,9.26,26.32,26.32,25.20,11.41,11.41,11.24,101.81,101.81,93.86,"5,667","1,100","1,202",16.38,16.38,11.12,"27,656","27,656","28,935",3.36,3.36,2.15,1.35,,,13.87,66.36,0.00
녹십자홀딩스,161,005250,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005250,"23,750","15,248","3,776","3,595",304,-203,56,-305,-203,-102,"27,739","27,739","27,833","12,673","12,673","13,129","15,066","15,066","14,704",1.99,-5.38,1.57,-2.00,-5.37,-2.84,0.37,0.37,-0.28,-1.13,-1.13,-1.65,84.11,84.11,89.28,60,80,-50,372.73,372.73,N/A,"17,903","17,903","17,460",1.24,1.24,1.14,1.46,,,498.97,370.72,
두산퓨얼셀,162,336260,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=336260,"17,150","2,212","2,212",201,195,195,-46,119,119,-34,"4,958","4,958","5,398","3,290","3,290","3,765","1,668","1,668","1,633",8.81,8.81,-23.11,5.37,5.37,-17.11,,,,,,,197.27,197.27,230.48,656,165,-48,13.35,,,"2,321","2,321","2,274",3.77,3.77,2.30,,,,,,0.00
한국콜마,164,161890,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=161890,"46,550","15,407","3,894","3,753","1,178",278,299,336,0,139,"24,003","24,003","24,241","15,524","15,524","15,704","8,479","8,479","8,537",7.65,7.15,7.96,2.18,0.00,3.71,6.39,6.39,5.90,1.47,1.47,1.40,183.10,183.10,183.96,"1,284",-72,543,36.78,36.78,31.21,"20,601","20,601","20,882",2.29,2.29,1.79,0.70,,,25.99,-457.73,
이노션,165,214320,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=214320,"54,200","12,743","3,595","3,440","1,219",398,272,946,265,227,"20,755","20,755","19,993","12,945","12,945","12,298","7,810","7,810","7,694",9.56,11.08,7.89,7.42,7.37,6.59,9.88,9.88,10.32,4.96,4.96,5.08,165.75,165.75,159.83,"3,681","1,102",856,19.26,19.26,13.91,"38,184","38,184","37,366",1.86,1.86,1.41,2.12,,,40.75,136.17,
영진약품,167,003520,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=003520,"5,820","2,205",534,570,100,-4,25,50,-30,18,"2,004","2,004","2,028",847,847,852,"1,158","1,158","1,176",4.53,-0.84,4.35,2.28,-5.66,3.24,4.42,4.42,4.44,2.54,2.54,2.54,73.17,73.17,72.41,28,-17,10,241.07,241.07,172.96,633,633,643,10.48,10.48,7.54,,,,,,
한화시스템,168,272210,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=272210,"9,800","15,460",,"2,823",858,,109,729,,96,"24,092","24,092","27,496","14,408","14,408","18,052","9,684","9,684","9,444",5.55,,3.87,4.71,,3.40,8.15,,,3.38,,,148.78,148.78,191.15,706,,87,14.67,,,"8,786","8,786","8,574",1.18,1.18,0.83,3.00,,,46.88,,
현대위아,169,011210,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=011210,"39,650","73,146","17,983","16,478","1,019",202,845,552,152,765,"67,743","67,743","66,772","36,825","36,825","35,115","30,918","30,918","31,657",1.39,1.12,5.13,0.76,0.84,4.64,1.80,1.80,3.79,0.80,0.80,1.70,119.11,119.11,110.92,"2,030",558,"2,813",24.73,24.73,6.18,"116,401","116,401","119,183",0.43,0.43,0.22,1.39,,,33.68,122.48,
한국테크놀로지그룹,171,000240,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=000240,"11,300","8,476","2,092","1,951","1,709",191,338,"1,633",144,310,"36,071","36,071","37,226","2,285","2,285","3,284","33,786","33,786","33,942",20.16,9.13,17.32,19.27,6.89,15.87,4.71,4.71,4.35,4.60,4.60,4.16,6.76,6.76,9.67,"1,627",129,308,8.85,8.85,5.65,"35,779","35,779","35,887",0.40,0.40,0.24,2.43,,,21.21,266.51,0.00
