,순위,종목코드,href,현재가,매출액[2019],매출액[2019.12],매출액[2020.03],영업이익[2019],영업이익[2019.12],영업이익[2020.03],당기순이익[2019],당기순이익[2019.12],당기순이익[2020.03],자산총계[2019],자산총계[2019.12],자산총계[2020.03],부채총계[2019],부채총계[2019.12],부채총계[2020.03],자본총계[2019],자본총계[2019.12],자본총계[2020.03],영업이익률[2019],영업이익률[2019.12],영업이익률[2020.03],순이익률[2019],순이익률[2019.12],순이익률[2020.03],ROE(%)[2019],ROE(%)[2019.12],ROE(%)[2020.03],ROA(%)[2019],ROA(%)[2019.12],ROA(%)[2020.03],부채비율[2019],부채비율[2019.12],부채비율[2020.03],EPS(원)[2019],EPS(원)[2019.12],EPS(원)[2020.03],PER(배)[2019],PER(배)[2019.12],PER(배)[2020.03],BPS(원)[2019],BPS(원)[2019.12],BPS(원)[2020.03],PBR(배)[2019],PBR(배)[2019.12],PBR(배)[2020.03],현금배당수익률[2019],현금배당수익률[2019.12],현금배당수익률[2020.03],현금배당성향(%)[2019],현금배당성향(%)[2019.12],현금배당성향(%)[2020.03]
동아쏘시오홀딩스,237,000640,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=000640,"95,900","7,697","1,843","1,811",528,126,88,200,-29,84,"13,586","13,586","13,392","6,117","6,117","5,884","7,469","7,469","7,509",6.86,6.82,4.87,2.60,-1.57,4.64,2.67,2.67,3.89,1.54,1.54,2.16,81.89,81.89,78.36,"3,220",-473,"1,363",33.39,33.39,17.45,"121,392","121,392","122,712",0.89,0.89,0.67,0.93,,,31.06,-211.47,
SPC삼립,238,005610,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005610,"70,300","24,992","7,013","5,908",470,185,68,202,36,16,"11,963","11,963","11,901","8,736","8,736","8,717","3,227","3,227","3,184",1.88,2.63,1.16,0.81,0.52,0.26,6.34,6.34,5.04,2.08,2.08,1.62,270.67,270.67,273.77,"2,341",418,176,37.25,37.25,32.77,"39,828","39,828","39,289",2.19,2.19,1.54,1.27,,,29.22,163.75,
LG상사,239,001120,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=001120,"15,800","105,309","26,133","24,498","1,348",17,499,-149,"-2,147","2,705","48,760","48,760","53,330","33,274","33,274","35,442","15,486","15,486","17,887",1.28,0.06,2.04,-0.14,-8.22,11.04,2.48,2.48,15.42,-0.30,-0.30,3.02,214.86,214.86,198.14,737,"-3,727","6,629",20.41,20.41,1.75,"30,303","30,303","36,390",0.50,0.50,0.25,1.99,,,40.59,-8.03,
풀무원,240,017810,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=017810,"15,100","23,815","6,082","5,626",306,70,45,-75,-111,57,"14,846","14,846","15,155","10,215","10,215","10,444","4,631","4,631","4,711",1.28,1.16,0.81,-0.32,-1.83,1.02,0.95,0.95,4.62,-0.56,-0.56,0.40,220.57,220.57,221.67,83,-207,170,135.73,135.73,23.48,"9,619","9,619","9,785",1.17,1.17,0.94,0.91,,,108.79,-43.60,0.00
종근당홀딩스,241,001630,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=001630,"121,000","7,206","1,899","2,121",862,123,324,793,145,261,"10,747","10,747","11,247","3,347","3,347","3,743","7,401","7,401","7,505",11.96,6.50,15.26,11.01,7.64,12.28,10.03,10.03,8.34,8.15,8.15,7.43,45.22,45.22,49.87,"8,988","1,704","2,693",11.24,11.24,13.80,"93,600","93,600","94,464",1.08,1.08,1.12,1.29,,,14.46,76.28,
LG하우시스,242,108670,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=108670,"66,500","31,868","8,050","7,237",688,32,208,116,-263,43,"25,656","25,656","26,499","16,496","16,496","17,234","9,160","9,160","9,264",2.16,0.40,2.88,0.36,-3.27,0.60,1.26,1.26,1.85,0.46,0.46,0.62,180.09,180.09,186.03,"1,156","-2,634",459,47.30,47.30,20.70,"91,606","91,606","92,677",0.60,0.60,0.38,0.46,,,22.02,-9.67,
HDC,243,012630,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=012630,"10,100","16,167","4,098","3,570","1,281",259,247,"2,751",474,375,"42,090","42,090","89,045","18,504","18,504","47,150","23,585","23,585","41,896",7.92,6.31,6.91,17.02,11.56,10.49,12.58,12.58,11.29,7.22,7.22,3.92,78.46,78.46,112.54,"4,295",781,567,2.57,2.57,1.88,"37,525","37,525","39,625",0.29,0.29,0.19,1.81,,,4.48,24.67,0.00
롯데정보통신,244,286940,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=286940,"39,500","8,457","2,379","1,975",411,163,60,530,130,49,"6,967","6,967","6,130","3,063","3,063","2,275","3,904","3,904","3,854",4.86,6.86,3.04,6.27,5.46,2.48,14.77,14.77,14.95,7.57,7.57,8.56,78.45,78.45,59.03,"3,679",844,319,11.21,11.21,7.42,"25,805","25,805","25,476",1.60,1.60,1.05,1.70,,,19.40,81.47,
한진,245,002320,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=002320,"49,450","20,623","5,379","5,365",907,246,254,-29,127,26,"35,484","35,484","35,260","24,945","24,945","24,878","10,539","10,539","10,382",4.40,4.58,4.74,-0.14,2.36,0.48,-0.34,-0.34,0.29,-0.09,-0.09,0.07,236.69,236.69,239.61,-261,905,203,N/A,N/A,138.90,"75,968","75,968","74,648",0.39,0.39,0.41,1.67,,,-191.61,55.24,
서흥,246,008490,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=008490,"50,200","4,607","1,148","1,430",474,88,185,374,31,156,"7,089","7,089","7,311","3,799","3,799","3,889","3,290","3,290","3,421",10.29,7.66,12.94,8.11,2.70,10.90,11.14,11.14,11.75,5.54,5.54,5.83,115.46,115.46,113.68,"2,742",193,"1,158",12.95,12.95,11.82,"26,586","26,586","27,582",1.34,1.34,1.27,1.13,,,14.02,198.88,
